Carina Gold	Featuring a terrace, bar and views of city, Grand Balyan Hotel & Restauran	2023-11-10T19:30:19.509Z	amsterdam	undertown.jpg	undertown.jpg;joy.jpg;assengard.jpg	false	false	5	room	2	1	36038	babySeat;washer;towels;fridge	52.370216	4.895168	Gavatreau	freedom@pisem.local	pro	undertown.jpg	69
Casa De Port Hotel	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-13T19:30:19.510Z	dusseldorf	undertown.jpg	undertown.jpg;joy.jpg;assengard.jpg	false	false	0	house	2	5	4956	breakfast;airConditioning;laptopFriendlyWorkspace;babySeat;washer	51.225402	6.776314	Sereni	rolan@pochta.local	standard	assengard.jpg	34
Casa De Port Hotel	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-08T19:30:19.510Z	hamburg	house.jpg	undertown.jpg;joy.jpg;assengard.jpg	false	false	2	room	4	4	86112	breakfast	53.550341	10.000654	Phonettia	kujo-fan@story.local	standard	undertown.jpg	52
Carina Gold	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-13T19:30:19.510Z	hamburg	house.jpg	dark-tower.jpg;undertown.jpg;joy.jpg	false	false	5	house	4	3	19361	breakfast;airConditioning;laptopFriendlyWorkspace;babySeat;washer	53.550341	10.000654	Fabria	test@lost.loca	pro	house.jpg	89
Casa De Port Hotel	Featuring a terrace, bar and views of city, Grand Balyan Hotel & Restauran	2023-11-12T19:30:19.510Z	amsterdam	house.jpg	dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	false	true	9	room	5	1	39681	towels;fridge	52.370216	4.895168	Choryn	president@dka.local	pro	dark-tower.jpg	42
Casa De Port Hotel	Featuring a terrace, bar and views of city, Grand Balyan Hotel & Restauran	2023-11-08T19:30:19.510Z	hamburg	undertown.jpg	dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	true	false	5	house	2	3	9559	laptopFriendlyWorkspace;babySeat;washer;towels	53.550341	10.000654	Fabria	president@dka.local	pro	hotel.jpg	13
Casa De Port Hotel	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-09T19:30:19.510Z	amsterdam	joy.jpg	dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	true	true	8	room	1	2	52094	babySeat;washer;towels;fridge	52.370216	4.895168	Choryn	kujo-fan@story.local	pro	assengard.jpg	53
Elite Marmara Old CityOpens in new window	Musk Hotel provides air-conditioned rooms, a terrace, free WiFi and a restaurant.	2023-11-07T19:30:19.510Z	cologne	joy.jpg	house.jpg;dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	false	false	3	hotel	6	2	46735	laptopFriendlyWorkspace;babySeat;washer;towels;fridge	50.938361	6.959974	Fabria	president@dka.local	pro	undertown.jpg	69
Casa De Port Hotel	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-11T19:30:19.510Z	dusseldorf	dark-tower.jpg	assengard.jpg	true	true	2	room	5	1	62589	washer;towels;fridge	51.225402	6.776314	Nairo	test@lost.loca	pro	house.jpg	31
Elite Marmara Old CityOpens in new window	Featuring a terrace, bar and views of city, Grand Balyan Hotel & Restauran	2023-11-12T19:30:19.510Z	dusseldorf	dark-tower.jpg	dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	false	false	9	house	6	2	75727	airConditioning;laptopFriendlyWorkspace;babySeat;washer;towels	51.225402	6.776314	Fabria	author@mir.local	pro	hotel.jpg	32
Elite Marmara Old CityOpens in new window	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-07T19:30:19.510Z	brussels	joy.jpg	undertown.jpg;joy.jpg;assengard.jpg	true	true	6	room	7	2	31251	towels;fridge	50.846557	4.351697	Sereni	rolan@pochta.local	standard	joy.jpg	55
Elite Marmara Old CityOpens in new window	Pell Palace Hotel & SPA features views of the city. Among the facilities at this property are a spa and wellness centre along with sauna.	2023-11-09T19:30:19.510Z	hamburg	hotel.jpg	dark-tower.jpg;undertown.jpg;joy.jpg;assengard.jpg	true	true	7	apartment	5	7	37102	breakfast;airConditioning;laptopFriendlyWorkspace	53.550341	10.000654	Nairo	fish@big.local	standard	dark-tower.jpg	9
